frame_index,num_person_detections,num_unique_track_ids,track_ids
358,0,0,
359,0,0,
360,0,0,
361,0,0,
362,0,0,
363,0,0,
364,0,0,
365,0,0,
366,0,0,
367,0,0,
368,0,0,
369,0,0,
370,0,0,
371,0,0,
372,0,0,
373,0,0,
374,0,0,
375,1,0,
376,0,0,
377,0,0,
378,0,0,
379,0,0,
380,0,0,
381,0,0,
382,0,0,
383,0,0,
384,0,0,
385,1,0,
386,0,0,
387,0,0,
388,0,0,
389,0,0,
390,0,0,
391,0,0,
392,1,0,
393,0,0,
394,0,0,
395,0,0,
396,0,0,
397,0,0,
398,0,0,
399,0,0,
400,0,0,
401,1,0,
402,0,0,
403,0,0,
404,1,0,
405,0,0,
406,0,0,
407,0,0,
408,0,0,
409,0,0,
410,0,0,
411,0,0,
412,0,0,
413,0,0,
414,0,0,
415,0,0,
416,0,0,
417,0,0,
418,0,0,
419,1,0,
420,1,0,
421,1,1,177
422,1,1,177
423,1,1,177
424,0,0,
425,0,0,
426,2,0,
427,2,0,
428,2,0,
429,1,1,184
430,1,1,184
431,1,1,184
432,1,1,184
433,0,0,
434,1,0,
435,1,0,
436,1,0,
437,1,0,
438,0,0,
439,1,0,
440,2,0,
441,1,0,
442,1,0,
443,2,0,
444,2,0,
445,2,0,
446,2,0,
447,0,0,
448,2,0,
449,1,0,
450,2,0,
451,1,0,
452,1,0,
453,1,0,
454,1,0,
455,0,0,
456,0,0,
457,0,0,
458,0,0,
459,0,0,
460,0,0,
461,0,0,
462,0,0,
463,0,0,
464,0,0,
465,0,0,
466,0,0,
467,0,0,
468,0,0,
469,0,0,
470,0,0,
471,0,0,
472,0,0,
473,0,0,
474,0,0,
475,0,0,
476,0,0,
477,0,0,
478,1,0,
479,2,0,
480,1,0,
481,1,1,214
482,1,1,214
483,1,1,214
484,1,1,214
485,1,1,214
486,1,1,214
487,1,1,214
488,1,1,214
489,1,1,214
490,1,1,214
491,1,1,214
492,1,1,214
493,1,1,214
494,1,1,214
495,1,1,214
496,1,1,214
497,1,1,214
498,1,1,214
499,1,1,214
500,1,1,214
501,1,1,214
502,1,1,214
503,1,1,214
504,1,1,214
505,1,1,214
506,1,1,214
507,2,2,"214,225"
508,2,2,"214,225"
509,3,3,"214,225,227"
510,2,2,"214,227"
511,3,3,"214,227,228"
512,3,3,"214,227,228"
513,3,3,"214,227,228"
514,3,3,"214,227,228"
515,3,3,"214,227,228"
516,4,4,"214,227,228,231"
517,4,4,"214,227,228,231"
518,4,4,"214,227,228,231"
519,3,3,"227,228,231"
520,3,3,"227,228,231"
521,3,3,"227,228,231"
522,3,3,"227,228,231"
523,4,4,"227,228,231,237"
524,4,4,"227,228,231,237"
525,4,4,"227,228,231,237"
526,4,4,"227,228,231,237"
527,4,4,"227,228,231,237"
528,4,4,"227,228,231,237"
529,4,4,"227,228,231,237"
530,3,3,"228,231,237"
531,3,3,"228,231,237"
532,3,3,"228,231,237"
533,3,3,"228,231,237"
534,3,3,"228,231,237"
535,3,3,"228,231,237"
536,4,4,"228,231,237,246"
537,4,4,"228,231,237,246"
538,4,4,"228,231,237,246"
539,4,4,"228,231,237,246"
540,4,4,"228,231,237,246"
541,4,4,"228,231,237,246"
542,4,4,"228,231,237,246"
543,4,4,"228,231,237,246"
544,4,4,"228,231,237,246"
545,4,4,"228,231,237,246"
546,5,5,"228,231,237,246,249"
547,5,5,"228,231,237,246,249"
548,5,5,"228,231,237,246,249"
549,5,5,"228,231,237,246,249"
550,6,6,"228,231,237,246,249,250"
551,6,6,"228,231,237,246,249,250"
552,6,6,"228,231,237,246,249,250"
553,6,6,"228,231,237,246,249,250"
554,6,6,"228,231,237,246,249,250"
555,6,6,"228,231,237,246,249,250"
556,6,6,"228,231,237,246,249,250"
557,6,6,"228,231,237,246,249,250"
558,6,6,"228,231,237,246,249,250"
559,6,6,"228,231,237,246,249,250"
560,6,6,"228,231,237,246,249,250"
561,6,6,"228,231,237,246,249,250"
562,6,6,"228,231,237,246,249,250"
563,6,6,"228,231,237,246,249,250"
564,6,6,"228,231,237,246,249,250"
565,6,6,"228,231,237,246,249,250"
566,6,6,"228,231,237,246,249,250"
567,6,6,"228,231,237,246,249,250"
568,6,6,"228,231,237,246,249,250"
569,6,6,"228,231,237,246,249,250"
570,6,6,"228,231,237,246,249,250"
571,6,6,"228,231,237,246,249,250"
572,6,6,"228,231,237,246,249,250"
573,6,6,"228,231,237,246,249,250"
574,6,6,"228,231,237,246,249,250"
575,6,6,"228,231,237,246,249,250"
576,6,6,"228,231,237,246,249,250"
577,6,6,"228,231,237,246,249,250"
578,6,6,"228,231,237,246,249,250"
579,6,6,"228,231,237,246,249,250"
580,6,6,"228,231,237,246,249,250"
581,6,6,"228,231,237,246,249,250"
582,6,6,"228,231,237,246,249,250"
583,6,6,"228,231,237,246,249,250"
584,6,6,"228,231,237,246,249,250"
585,6,6,"228,231,237,246,249,250"
586,6,6,"228,231,237,246,249,250"
587,6,6,"228,231,237,246,249,250"
588,6,6,"228,231,237,246,249,250"
589,6,6,"228,231,237,246,249,250"
590,6,6,"228,231,237,246,249,250"
591,6,6,"228,231,237,246,249,250"
592,6,6,"228,231,237,246,249,250"
593,6,6,"228,231,237,246,249,250"
594,6,6,"228,231,237,246,249,250"
595,6,6,"228,231,237,246,249,250"
596,6,6,"228,231,237,246,249,250"
597,6,6,"228,231,237,246,249,250"
598,6,6,"228,231,237,246,249,250"
599,6,6,"228,231,237,246,249,250"
600,6,6,"228,231,237,246,249,250"
601,6,6,"228,231,237,246,249,250"
602,6,6,"228,231,237,246,249,250"
603,6,6,"228,231,237,246,249,250"
604,6,6,"228,231,237,246,249,250"
605,6,6,"228,231,237,246,249,250"
606,6,6,"228,231,237,246,249,250"
607,6,6,"228,231,237,246,249,250"
608,6,6,"228,231,237,246,249,250"
609,6,6,"228,231,237,246,249,250"
610,6,6,"228,231,237,246,249,250"
611,6,6,"228,231,237,246,249,250"
612,6,6,"228,231,237,246,249,250"
